 On 2022/6/20 ,,,,,,,,,,,,
-,h,m,s,ms,x,y,z,Lat,Lon,Speed,Angle,Altitude
data,13,37,50,2392,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2403,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2413,-0.32,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2423,-0.32,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2433,-0.32,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2443,-0.32,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2461,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2471,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2481,-0.32,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2491,-0.32,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2501,-0.32,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2511,-0.32,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2521,-0.32,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2539,-0.32,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2549,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2559,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2569,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2579,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2589,-0.32,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2599,-0.32,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2617,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2627,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2637,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2647,-0.32,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2657,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2667,-0.32,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2677,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2694,-0.32,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2704,-0.32,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2714,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2724,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2734,-0.32,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2745,-0.32,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2755,-0.32,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2809,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,51,2820,-0.31,1.48,1.21,5126.6562,526.7192,22.15,244.83,14.8
data,13,37,51,2830,-0.32,1.48,1.21,5126.6562,526.7192,22.15,244.83,14.8
data,13,37,51,2840,-0.31,1.48,1.21,5126.6562,526.7192,22.15,244.83,14.8
data,13,37,51,2850,-0.32,1.49,1.21,5126.6562,526.7192,22.15,244.83,14.8
data,13,37,51,2860,-0.32,1.49,1.21,5126.6562,526.7192,22.15,244.83,14.8
data,13,37,51,2870,-0.32,1.49,1.21,5126.6562,526.7192,22.15,244.83,14.8
data,13,37,51,2888,-0.31,1.49,1.21,5126.6562,526.7192,22.15,244.83,14.8
data,13,37,51,2898,-0.32,1.48,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,2908,-0.32,1.48,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,2918,-0.31,1.48,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,2928,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,2938,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,2948,-0.31,1.48,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,2966,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,2976,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,2986,-0.32,1.48,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,2996,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3006,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3016,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3026,-0.31,1.48,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3048,-0.31,1.48,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3057,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3067,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3077,-0.31,1.48,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3087,-0.31,1.48,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3097,-0.32,1.48,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3107,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3124,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3134,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3144,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3154,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3164,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3174,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3184,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3201,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3211,-0.32,1.48,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3221,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3231,-0.32,1.48,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3241,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3251,-0.31,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3261,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3278,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3288,-0.32,1.48,1.21,5126.6562,526.7192,22.58,244.31,14.8
data,13,37,51,3299,-0.32,1.49,1.21,5126.6562,526.7192,22.58,244.31,14.8
