 On 2022/6/20 
-,h,m,s,ms,x,y,z,Lat,Lon,Speed,Angle,Altitude
data,13,55,12,1414,-0.11,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1424,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1472,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1481,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1491,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1501,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1511,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1521,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1531,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1548,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1558,-0.11,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1568,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1578,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1588,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1598,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1609,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1626,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1636,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1646,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1656,-0.11,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1666,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1676,-0.11,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1686,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1704,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1714,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1724,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1734,-0.11,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1744,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1754,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1764,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1782,-0.11,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1792,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1802,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1812,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1823,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1833,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1843,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1853,-0.11,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1871,-0.11,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1881,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1891,-0.11,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1901,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1911,-0.12,1.49,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1921,-0.11,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1931,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
